"Плей-лист на СУББОТА, 16.05.2015 г. Перец Европа",,,,,,,,,,
"Источник, логотип",Время выхода в эфир,Название передачи,Хронометраж,Таймкод начальный,Таймкод конечный,Номер эфирной кассеты,GPO,Аудит,Тип рекламы,Б/С
Лого ДА,09:59:36:23,ВОЙНА НА ЗАПАДНОМ НАПРАВЛЕНИИ (продолжение) титр2/00:00:00:00/00:00:08:00/P_00.tga титр4/00:02:51:00/00:00:08:00/ABY_SE19.tga,00:05:56:05,00:56:04:16,01:02:00:21,PR_121038880,"GR026
00:00:00:00/00:00:08:00
00:02:51:00/00:00:08:00",0+,,"00:00:08:00/00:02:43:00
00:02:59:00/00:02:57:05"
Лого ДА,10:05:33:03,ГолубСтрела.16мая_Сег15_30,00:00:30:00,00:00:00:00,00:00:30:00,VAN002809,,,,
Лого ДА,10:06:03:03,КитайСервиз.16мая_Сег17_15,00:00:15:00,00:00:00:00,00:00:15:00,VAN002821,,,,
Лого ДА,10:06:18:03,ID_PERETZ_NEW_STONE_5_REG_STR,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0019_STR,_STR,,,
Лого ДА,10:06:23:03,Рыбочистка_2828  Спонсорство Перец 2015,00:01:00:00,00:00:00:00,00:01:00:00,503588,,,СЗО,
Лого ДА,10:07:23:03,ID_PERETZ_NEW_5_ENR,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0030_ENR,_ENR,,,
Лого ДА,10:07:28:03,ЧтоБылоДальше.с18мая_ПнЧт19.30_15,00:00:15:00,00:00:00:00,00:00:15:00,VAN002910,,,,
Лого ДА,10:07:43:03,Участок.18мая.4сер_Пн20_30 Нов,00:00:30:00,00:00:00:00,00:00:30:00,VAN002788,,,,
Лого ДА,10:08:13:03,ВОЙНА НА ЗАПАДНОМ НАПРАВЛЕНИИ (продолжение) титр2/00:00:00:00/00:00:08:00/P_00.tga титр4/00:04:54:00/00:00:08:00/GS_S15.tga,00:08:01:22,01:02:01:05,01:10:03:02,PR_121038880,"GR027
00:00:00:00/00:00:08:00
00:04:54:00/00:00:08:00",0+,,"00:00:08:00/00:04:46:00
00:05:02:00/00:02:59:22"
Лого ДА,10:16:15:00,АнтиБум19+Бум2.20.3+Бум23.Пьяно.Съем.16мая_Сег_20,00:00:20:00,00:00:00:00,00:00:20:00,VAN002902,,,,
Лого ДА,10:16:35:00,Участок.Дача.с15мая_ПнЧт20_10 Нов,00:00:10:00,00:00:00:00,00:00:10:00,VAN002838,,,,
Лого ДА,10:16:45:00,ID_PERETZ_NEW_CLAY _REKL_5_STF,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0049_STF,_STF,,,
Лого ДА,10:16:50:00,КФС  Лонгер - девушка,00:00:05:00,00:00:00:00,00:00:05:00,501498,,,КР,
Лого ДА,10:16:55:00,Чудо  Музей 2,00:00:30:00,00:00:00:00,00:00:30:00,494595,,,КР,
Лого ДА,10:17:25:00,Релиф  Оркестр v3,00:00:10:00,00:00:00:00,00:00:10:00,486624,,,КР,
Лого ДА,10:17:35:00,Кари (обувь)  Кари 4-8 мая 2015 (фед),00:00:10:00,00:00:00:00,00:00:10:00,499291,,,КР,
Лого ДА,10:17:45:00,Mr. Proper  Чистый пол,00:00:15:00,00:00:00:00,00:00:15:00,493318,,,КР,
Лого ДА,10:18:00:00,Volkswagen  VW “Tiguan & Polo CLUB” титр1/00:00:16:00/00:00:01:00/PCDA0415.tga,00:00:30:00,00:00:00:00,00:00:30:00,493022,"GR028
00:00:16:00/00:00:01:00",,КР,
Лого ДА,10:18:30:00,Snickers  Mr.Bean,00:00:20:00,00:00:00:00,00:00:20:00,492792,,,КР,
Лого ДА,10:18:50:00,Иберогаст  Лаборатория,00:00:15:00,00:00:00:00,00:00:15:00,494990,,,КР,
Лого ДА,10:19:05:00,ID_PERETZ_NEW_CET_ZAKR_ENF,00:00:01:00,00:00:00:00,00:00:01:00,PGR_0013_ENF,_ENF,,,
Лого ДА,10:19:06:00,СвБундока-2.22мая_Пт21.45_45,00:00:45:00,00:00:00:00,00:00:45:00,VAN002962,,,,
Лого ДА,10:19:51:00,ВОЙНА НА ЗАПАДНОМ НАПРАВЛЕНИИ (окончание) титр2/00:00:00:00/00:00:08:00/P_00.tga титр4/00:02:30:00/00:00:08:00/KITS_S17.tga,00:03:12:14,01:10:03:05,01:13:15:19,PR_121038880,"GR029
00:00:00:00/00:00:08:00
00:02:30:00/00:00:08:00",0+,,"00:00:08:00/00:02:22:00
00:02:38:00/00:00:34:14"
Лого ДА,10:23:03:14,Конец 1 серии,00:00:02:00,00:04:50:00,00:04:52:00,T_001_007,,,,
Лого ДА,10:23:05:14,9MАЯ_КУРЕНИЕ,00:00:05:00,00:00:00:00,00:00:05:00,GRF_0054,,,,
Лого ДА,10:23:10:14,"ВОЙНА НА ЗАПАДНОМ НАПРАВЛЕНИИ 002-я серия. МЫ ПОГИБЛИ БЫ, ЕСЛИ Б НЕ ПОГИБАЛИ (начало) титр2/00:00:00:00/00:00:08:00/P_00.tga титр4/00:02:42:15/00:00:08:00/ABY_SE19.tga",00:09:11:19,00:00:17:10,00:09:29:04,PR_121039638,"GR030
00:00:00:00/00:00:08:00
00:02:42:15/00:00:08:00",0+,,"00:00:08:00/00:02:34:15
00:02:50:15/00:06:21:04"
Лого ДА,10:32:22:08,ГолубСтрела.16мая_Сег15_30,00:00:30:00,00:00:00:00,00:00:30:00,VAN002809,,,,
Лого ДА,10:32:52:08,КитайСервиз.16мая_Сег17_15,00:00:15:00,00:00:00:00,00:00:15:00,VAN002821,,,,
Лого ДА,10:33:07:08,ID_PERETZ_NEW_STONE_5_REG_STR,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0019_STR,_STR,,,
Лого ДА,10:33:12:08,Рыбочистка_2828  Спонсорство Перец 2015,00:01:15:00,00:00:00:00,00:01:15:00,503587,,,СЗО,
Лого ДА,10:34:27:08,ID_PERETZ_NEW_5_ENR,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0030_ENR,_ENR,,,
Лого ДА,10:34:32:08,ЧтоБылоДальше.с18мая_ПнЧт19.30_15,00:00:15:00,00:00:00:00,00:00:15:00,VAN002910,,,,
Лого ДА,10:34:47:08,Участок.18мая.4сер_Пн20_30 Нов,00:00:30:00,00:00:00:00,00:00:30:00,VAN002788,,,,
Лого ДА,10:35:17:08,ВОЙНА НА ЗАПАДНОМ НАПРАВЛЕНИИ (продолжение) титр2/00:00:00:00/00:00:08:00/P_00.tga титр4/00:04:22:00/00:00:08:00/GS_S15.tga,00:07:23:07,00:09:29:07,00:16:52:14,PR_121039638,"GR031
00:00:00:00/00:00:08:00
00:04:22:00/00:00:08:00",0+,,"00:00:08:00/00:04:14:00
00:04:30:00/00:02:53:07"
Лого ДА,10:42:40:15,АнтиБум19+Бум2.20.3+Бум23.Скрипка.Съем.16мая_Сег_20,00:00:20:00,00:00:00:00,00:00:20:00,VAN002877,,,,
Лого ДА,10:43:00:15,Светофор.с18мая_ПнЧт22_10,00:00:10:00,00:00:00:00,00:00:10:00,VAN002999,,,,
Лого ДА,10:43:10:15,ID_PERETZ_NEW_METAL_REKL_5_STF,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0051_STF,_STF,,,
Лого ДА,10:43:15:15,Билайн  Игры,00:00:20:00,00:00:00:00,00:00:20:00,499482,,,КР,
Лого ДА,10:43:35:15,J7  J7 Фрукты,00:00:15:00,00:00:00:00,00:00:15:00,501325,,,КР,
Лого ДА,10:43:50:15,B-A-M  1 Стань экспертом,00:00:20:00,00:00:00:00,00:00:20:00,496903,,,КР,
Лого ДА,10:44:10:15,Спортмастер  SM-product – ролики детские,00:00:10:00,00:00:00:00,00:00:10:00,495595,,,КР,
Лого ДА,10:44:20:15,Deo Women  Powder Touch 2015,00:00:20:00,00:00:00:00,00:00:20:00,494017,,,КР,
Лого ДА,10:44:40:15,Volkswagen  VW “Tiguan & Polo CLUB” титр1/00:00:01:00/00:00:01:00/PCDA0415.tga,00:00:30:00,00:00:00:00,00:00:30:00,493022,"GR032
00:00:01:00/00:00:01:00",,КР,
Лого ДА,10:45:10:15,Pampers  Микрогранулы,00:00:20:00,00:00:00:00,00:00:20:00,455893,,,КР,
Лого ДА,10:45:30:15,ID_PERETZ_NEW_CET_ZAKR_ENF,00:00:01:00,00:00:00:00,00:00:01:00,PGR_0013_ENF,_ENF,,,
Лого ДА,10:45:31:15,ВОЙНА НА ЗАПАДНОМ НАПРАВЛЕНИИ (продолжение) титр2/00:00:00:00/00:00:08:00/P_00.tga титр4/00:04:52:00/00:00:08:00/KITS_S17.tga,00:07:50:04,00:16:52:17,00:24:42:21,PR_121039638,"GR033
00:00:00:00/00:00:08:00
00:04:52:00/00:00:08:00",0+,,"00:00:08:00/00:04:44:00
00:05:00:00/00:02:50:04"
Лого ДА,10:53:21:19,ГолубСтрела.16мая_Сег15_30,00:00:30:00,00:00:00:00,00:00:30:00,VAN002809,,,,
Лого ДА,10:53:51:19,ID_PERETZ_NEW_CLAY _REKL_5_STF,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0049_STF,_STF,,,
Лого ДА,10:53:56:19,Несквик Сириал момс  20 рублей,00:00:20:00,00:00:00:00,00:00:20:00,501251,,,КР,
Лого ДА,10:54:16:19,Экзодерил  1 Космонавт,00:00:15:00,00:00:00:00,00:00:15:00,498479,,,КР,
Лого ДА,10:54:31:19,Gillette Venus  Идеальный выбор,00:00:20:00,00:00:00:00,00:00:20:00,491369,,,КР,
Лого ДА,10:54:51:19,Fairy  1 Свекровь,00:00:15:00,00:00:00:00,00:00:15:00,483426,,,КР,
Лого ДА,10:55:06:19,Volkswagen  VW “Tiguan & Polo CLUB” титр1/00:00:16:00/00:00:01:00/PCDA0415.tga,00:00:30:00,00:00:00:00,00:00:30:00,493022,"GR034
00:00:16:00/00:00:01:00",,КР,
Лого ДА,10:55:36:19,ClearBlue  99% процентов-1,00:00:15:00,00:00:00:00,00:00:15:00,440794,,,КР,
Лого ДА,10:55:51:19,Gillette Mach 3  Турбо,00:00:20:00,00:00:00:00,00:00:20:00,496076,,,КР,
Лого ДА,10:56:11:19,ID_PERETZ_NEW_CET_ZAKR_ENF,00:00:01:00,00:00:00:00,00:00:01:00,PGR_0013_ENF,_ENF,,,
Лого ДА,10:56:12:19,ВОЙНА НА ЗАПАДНОМ НАПРАВЛЕНИИ (продолжение) титр2/00:00:00:00/00:00:08:00/P_00.tga титр4/00:04:11:00/00:00:08:00/ABY_SE19.tga,00:09:29:10,00:24:42:24,00:34:12:09,PR_121039638,"GR035
00:00:00:00/00:00:08:00
00:04:11:00/00:00:08:00",0+,,"00:00:08:00/00:04:03:00
00:04:19:00/00:05:10:10"
Лого ДА,11:05:42:04,АнтиБум19+Бум2.20.3+Бум23.16мая_Сег_45,00:00:45:00,00:00:00:00,00:00:45:00,VAN002874,,,,
Лого ДА,11:06:27:04,ID_PERETZ_NEW_STONE_5_REG_STR,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0019_STR,_STR,,,
Лого ДА,11:06:32:04,Рыбочистка_2828  Спонсорство Перец 2015,00:01:00:00,00:00:00:00,00:01:00:00,503588,,,СЗО,
Лого ДА,11:07:32:04,ID_PERETZ_NEW_5_ENR,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0030_ENR,_ENR,,,
Лого ДА,11:07:37:04,Участок.18мая.4сер_Пн20_30 Нов,00:00:30:00,00:00:00:00,00:00:30:00,VAN002788,,,,
Лого ДА,11:08:07:04,КитайСервиз.16мая_Сег17_15,00:00:15:00,00:00:00:00,00:00:15:00,VAN002821,,,,
Лого ДА,11:08:22:04,ВОЙНА НА ЗАПАДНОМ НАПРАВЛЕНИИ (продолжение) титр2/00:00:00:00/00:00:08:00/P_00.tga титр4/00:01:49:00/00:00:08:00/GS_S15.tga,00:07:22:24,00:34:12:12,00:41:35:11,PR_121039638,"GR036
00:00:00:00/00:00:08:00
00:01:49:00/00:00:08:00",0+,,"00:00:08:00/00:01:41:00
00:01:57:00/00:05:25:24"
Лого ДА,11:15:45:03,ГолубСтрела.16мая_Сег15_30,00:00:30:00,00:00:00:00,00:00:30:00,VAN002809,,,,
Лого ДА,11:16:15:03,ID_PERETZ_NEW_METAL_REKL_5_STF,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0051_STF,_STF,,,
Лого ДА,11:16:20:03,Nivea Men  Sensitive Shaving,00:00:20:00,00:00:00:00,00:00:20:00,496210,,,КР,
Лого ДА,11:16:40:03,Вольтарен Эмульгель  Танец NR14VT1038,00:00:20:00,00:00:00:00,00:00:20:00,484118,,,КР,
Лого ДА,11:17:00:03,Bon Aqua  Кролик(2015),00:00:15:00,00:00:00:00,00:00:15:00,487531,,,КР,
Лого ДА,11:17:15:03,Приложение Google  Паспорт,00:00:15:00,00:00:00:00,00:00:15:00,501318,,,КР,
Лого ДА,11:17:30:03,Pantene  Здоровые волосы,00:00:20:00,00:00:00:00,00:00:20:00,501600,,,КР,
Лого ДА,11:17:50:03,J7  J7 Фрукты,00:00:15:00,00:00:00:00,00:00:15:00,501325,,,КР,
Лого ДА,11:18:05:03,Renault Sandero  В ритме элементов May 2015,00:00:20:00,00:00:00:00,00:00:20:00,499658,,,КР,
Лого ДА,11:18:25:03,Спортмастер  SM-product – женские кроссовки,00:00:10:00,00:00:00:00,00:00:10:00,495597,,,КР,
Лого ДА,11:18:35:03,Camay  Клубника со сливками,00:00:10:00,00:00:00:00,00:00:10:00,491131,,,КР,
Лого ДА,11:18:45:03,Святой Источник  Качели-функционал титр1/00:00:01:00/00:00:01:00/PCDA0415.tga,00:00:20:00,00:00:00:00,00:00:20:00,492178,"GR037
00:00:01:00/00:00:01:00",,КР,
Лого ДА,11:19:05:03,МТС Гугл май  20.04.2015,00:00:30:00,00:00:00:00,00:00:30:00,501023,,,КР,
Лого ДА,11:19:35:03,ID_PERETZ_NEW_CET_ZAKR_ENF,00:00:01:00,00:00:00:00,00:00:01:00,PGR_0013_ENF,_ENF,,,
Лого ДА,11:19:36:03,ЧтоБылоДальше.с18мая_ПнЧт19.30_15,00:00:15:00,00:00:00:00,00:00:15:00,VAN002910,,,,
Лого ДА,11:19:51:03,Тюряга(Взаперти).22мая_Пт19.30_30,00:00:30:00,00:00:00:00,00:00:30:00,VAN002957,,,,
Лого ДА,11:20:21:03,ВОЙНА НА ЗАПАДНОМ НАПРАВЛЕНИИ (продолжение) титр2/00:00:00:00/00:00:08:00/P_00.tga титр4/00:01:39:00/00:00:08:00/KITS_S17.tga,00:09:44:12,00:41:35:19,00:51:20:06,PR_121039638,"GR038
00:00:00:00/00:00:08:00
00:01:39:00/00:00:08:00",0+,,"00:00:08:00/00:01:31:00
00:01:47:00/00:07:57:12"
Лого ДА,11:30:05:15,АнтиБум19+Бум2.20.3+Бум23.16мая_Сег_45,00:00:45:00,00:00:00:00,00:00:45:00,VAN002874,,,,
Лого ДА,11:30:50:15,ID_PERETZ_NEW_STONE_5_REG_STR,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0019_STR,_STR,,,
Лого ДА,11:30:55:15,Рыбочистка_2828  Спонсорство Перец 2015,00:01:15:00,00:00:00:00,00:01:15:00,503587,,,СЗО,
Лого ДА,11:32:10:15,ID_PERETZ_NEW_5_ENR,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0030_ENR,_ENR,,,
Лого ДА,11:32:15:15,Участок.18мая.4сер_Пн20_30 Нов,00:00:30:00,00:00:00:00,00:00:30:00,VAN002788,,,,
Лого ДА,11:32:45:15,КитайСервиз.16мая_Сег17_15,00:00:15:00,00:00:00:00,00:00:15:00,VAN002821,,,,
Лого ДА,11:33:00:15,ВОЙНА НА ЗАПАДНОМ НАПРАВЛЕНИИ (продолжение) титр2/00:00:00:00/00:00:08:00/P_00.tga титр4/00:01:40:00/00:00:08:00/ABY_SE19.tga,00:07:34:07,00:51:20:20,00:58:55:02,PR_121039638,"GR039
00:00:00:00/00:00:08:00
00:01:40:00/00:00:08:00",0+,,"00:00:08:00/00:01:32:00
00:01:48:00/00:05:46:07"
Лого ДА,11:40:34:22,АнтиБум19+Бум2.20.3+Бум23.Тел.Съем.16мая_Сег_20,00:00:20:00,00:00:00:00,00:00:20:00,VAN002880,,,,
Лого ДА,11:40:54:22,Светофор.с18мая_ПнЧт22_10,00:00:10:00,00:00:00:00,00:00:10:00,VAN002999,,,,
Лого ДА,11:41:04:22,ID_PERETZ_NEW_CLAY _REKL_5_STF,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0049_STF,_STF,,,
Лого ДА,11:41:09:22,J7  J7 Фрукты,00:00:15:00,00:00:00:00,00:00:15:00,501325,,,КР,
Лого ДА,11:41:24:22,Renault Sandero  В ритме элементов May 2015,00:00:30:00,00:00:00:00,00:00:30:00,500532,,,КР,
Лого ДА,11:41:54:22,Max Factor  Мерилин Монро,00:00:15:00,00:00:00:00,00:00:15:00,484582,,,КР,
Лого ДА,11:42:09:22,Samsung  Galaxy S6 edge Кредит,00:00:30:00,00:00:00:00,00:00:30:00,500681,,,КР,
Лого ДА,11:42:39:22,Nivea Men  Sensitive Shaving,00:00:20:00,00:00:00:00,00:00:20:00,496210,,,КР,
Лого ДА,11:42:59:22,Machine Zone  Решение,00:00:30:00,00:00:00:00,00:00:30:00,501765,,,КР,
Лого ДА,11:43:29:22,Кари (обувь)  Кари 4-8 мая 2015 (фед),00:00:10:00,00:00:00:00,00:00:10:00,499291,,,КР,
Лого ДА,11:43:39:22,Gillette Mach 3  Турбо титр1/00:00:11:00/00:00:01:13/PCDA0415.tga,00:00:20:00,00:00:00:00,00:00:20:00,496076,"GR040
00:00:11:00/00:00:01:13",,КР,
Лого ДА,11:43:59:22,Святой Источник  Качели-функционал,00:00:20:00,00:00:00:00,00:00:20:00,492178,,,КР,
Лого ДА,11:44:19:22,Rexona  Venus'20,00:00:20:00,00:00:00:00,00:00:20:00,495450,,,КР,
Лого ДА,11:44:39:22,ID_PERETZ_NEW_CET_ZAKR_ENF,00:00:01:13,00:00:00:00,00:00:01:13,PGR_0013_ENF,_ENF,,,
Лого ДА,11:44:41:10,СвБундока-2.22мая_Пт21.45_45,00:00:45:00,00:00:00:00,00:00:45:00,VAN002962,,,,
Лого ДА,11:45:26:10,ВОЙНА НА ЗАПАДНОМ НАПРАВЛЕНИИ (окончание) титр2/00:00:00:00/00:00:08:00/P_00.tga титр4/00:05:48:00/00:00:08:00/GS_S15.tga,00:07:08:07,00:58:55:04,01:06:03:11,PR_121039638,"GR041
00:00:00:00/00:00:08:00
00:05:48:00/00:00:08:00",0+,,"00:00:08:00/00:05:40:00
00:05:56:00/00:01:12:07"
Лого ДА,11:52:34:17,Конец 2 серии,00:00:02:00,00:05:00:00,00:05:02:00,T_001_008,,,,
Лого ДА,11:52:36:17,9MАЯ_КУРЕНИЕ,00:00:05:00,00:00:00:00,00:00:05:00,GRF_0054,,,,
Лого ДА,11:52:41:17,ВОЙНА НА ЗАПАДНОМ НАПРАВЛЕНИИ 003-я серия. ЧЁРНОЕ ЛЕТО (начало) титр2/00:00:00:00/00:00:08:00/P_00.tga титр4/00:02:43:00/00:00:08:00/KITS_S17.tga,00:08:08:01,00:00:17:18,00:08:25:19,PR_121039576,"GR042
00:00:00:00/00:00:08:00
00:02:43:00/00:00:08:00",0+,,"00:00:08:00/00:02:35:00
00:02:51:00/00:05:17:01"
Лого ДА,12:00:49:18,ВОЙНА НА ЗАПАДНОМ НАПРАВЛЕНИИ (продолжение) титр4/00:04:22:00/00:00:08:00/ABY_SE19.tga,00:10:16:14,00:08:25:22,00:18:42:11,PR_121039576,"GR043
00:04:22:00/00:00:08:00",0+,,"00:00:00:00/00:04:22:00
00:04:30:00/00:05:46:14"
Лого ДА,12:11:06:07,ГолубСтрела.16мая_Сег15_30,00:00:30:00,00:00:00:00,00:00:30:00,VAN002809,,,,
Лого ДА,12:11:36:07,КитайСервиз.16мая_Сег17_15,00:00:15:00,00:00:00:00,00:00:15:00,VAN002821,,,,
Лого ДА,12:11:51:07,ID_PERETZ_NEW_STONE_5_REG_STR,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0019_STR,_STR,,,
Лого ДА,12:11:56:07,Мужская цепь Арго_2828  С 01.05 Спонсорство Перец 2015,00:01:00:00,00:00:00:00,00:01:00:00,502972,,,СЗО,
Лого ДА,12:12:56:07,ID_PERETZ_NEW_5_ENR,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0030_ENR,_ENR,,,
Лого ДА,12:13:01:07,Участок.18мая.4сер_Пн20_30 Нов,00:00:30:00,00:00:00:00,00:00:30:00,VAN002788,,,,
Лого ДА,12:13:31:07,ВОЙНА НА ЗАПАДНОМ НАПРАВЛЕНИИ (продолжение) титр2/00:00:00:00/00:00:08:00/P_00.tga титр4/00:04:21:00/00:00:08:00/GS_S15.tga,00:07:45:03,00:18:42:14,00:26:27:17,PR_121039576,"GR044
00:00:00:00/00:00:08:00
00:04:21:00/00:00:08:00",0+,,"00:00:08:00/00:04:13:00
00:04:29:00/00:03:16:03"
Лого ДА,12:21:16:10,АнтиБум19+Бум2.20.3+Бум23.Оркестр.Съем.16мая_Сег_20,00:00:20:00,00:00:00:00,00:00:20:00,VAN002905,,,,
Лого ДА,12:21:36:10,Светофор.с18мая_ПнЧт22_10,00:00:10:00,00:00:00:00,00:00:10:00,VAN002999,,,,
Лого ДА,12:21:46:10,ID_PERETZ_NEW_METAL_REKL_5_STF,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0051_STF,_STF,,,
Лого ДА,12:21:51:10,Deo Women  Powder Touch 2015,00:00:20:00,00:00:00:00,00:00:20:00,494017,,,КР,
Лого ДА,12:22:11:10,Святой Источник  Качели-функционал,00:00:20:00,00:00:00:00,00:00:20:00,492178,,,КР,
Лого ДА,12:22:31:10,МТС Гугл май  20.04.2015,00:00:30:00,00:00:00:00,00:00:30:00,501023,,,КР,
Лого ДА,12:23:01:10,Кари (обувь)  Кари 4-8 мая 2015 (фед),00:00:10:00,00:00:00:00,00:00:10:00,499291,,,КР,
Лого ДА,12:23:11:10,Mr.Proper  Чистый пол,00:00:25:00,00:00:00:00,00:00:25:00,469422,,,КР,
Лого ДА,12:23:36:10,Snickers  Mr.Bean,00:00:20:00,00:00:00:00,00:00:20:00,492792,,,КР,
Лого ДА,12:23:56:10,Фенистил  Горилла NR15FN0374,00:00:20:00,00:00:00:00,00:00:20:00,497837,,,КР,
Лого ДА,12:24:16:10,Nivea Men  Greetings титр1/00:00:01:00/00:00:01:00/PCDA0415.tga,00:00:05:00,00:00:00:00,00:00:05:00,497306,"GR045
00:00:01:00/00:00:01:00",,КР,
Лого ДА,12:24:21:10,МТС Бит Имидж  19.03.2015,00:00:45:00,00:00:00:00,00:00:45:00,495318,,,КР,
Лого ДА,12:25:06:10,ID_PERETZ_NEW_CET_ZAKR_ENF,00:00:01:00,00:00:00:00,00:00:01:00,PGR_0013_ENF,_ENF,,,
Лого ДА,12:25:07:10,ЧтоБылоДальше.с18мая_ПнЧт19.30_15,00:00:15:00,00:00:00:00,00:00:15:00,VAN002910,,,,
Лого ДА,12:25:22:10,Тюряга(Взаперти).22мая_Пт19.30_30,00:00:30:00,00:00:00:00,00:00:30:00,VAN002957,,,,
Лого ДА,12:25:52:10,ВОЙНА НА ЗАПАДНОМ НАПРАВЛЕНИИ (продолжение) титр2/00:00:00:00/00:00:08:00/P_00.tga титр4/00:06:22:00/00:00:08:00/ABY_SE19.tga,00:08:22:09,00:26:31:19,00:34:54:03,PR_121039576,"GR046
00:00:00:00/00:00:08:00
00:06:22:00/00:00:08:00",0+,,"00:00:08:00/00:06:14:00
00:06:30:00/00:01:52:09"
Лого ДА,12:34:14:19,ГолубСтрела.16мая_Сег15_30,00:00:30:00,00:00:00:00,00:00:30:00,VAN002809,,,,
Лого ДА,12:34:44:19,Участок.Дача.с15мая_ПнЧт20_15 Нов,00:00:15:00,00:00:00:00,00:00:15:00,VAN002995,,,,
Лого ДА,12:34:59:19,ID_PERETZ_NEW_STONE_5_REG_STR,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0019_STR,_STR,,,
Лого ДА,12:35:04:19,Мужская цепь Арго_2828  С 01.05 Спонсорство Перец 2015,00:01:15:00,00:00:00:00,00:01:15:00,502971,,,СЗО,
Лого ДА,12:36:19:19,ID_PERETZ_NEW_5_ENR,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0030_ENR,_ENR,,,
Лого ДА,12:36:24:19,СвБундока-2.22мая_Пт21.45_45,00:00:45:00,00:00:00:00,00:00:45:00,VAN002962,,,,
Лого ДА,12:37:09:19,ВОЙНА НА ЗАПАДНОМ НАПРАВЛЕНИИ (продолжение) титр2/00:00:00:00/00:00:08:00/P_00.tga титр4/00:04:29:00/00:00:08:00/KITS_S17.tga,00:07:28:20,00:34:54:05,00:42:23:00,PR_121039576,"GR047
00:00:00:00/00:00:08:00
00:04:29:00/00:00:08:00",0+,,"00:00:08:00/00:04:21:00
00:04:37:00/00:02:51:20"
Лого ДА,12:44:38:14,АнтиБум19+Бум2.20.3+Бум23.Пьяно.Съем.16мая_Сег_20,00:00:20:00,00:00:00:00,00:00:20:00,VAN002902,,,,
Лого ДА,12:44:58:14,Светофор.с18мая_ПнЧт22_10,00:00:10:00,00:00:00:00,00:00:10:00,VAN002999,,,,
Лого ДА,12:45:08:14,ID_PERETZ_NEW_CLAY _REKL_5_STF,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0049_STF,_STF,,,
Лого ДА,12:45:13:14,Nivea Men  Sensitive Shaving,00:00:20:00,00:00:00:00,00:00:20:00,496210,,,КР,
Лого ДА,12:45:33:14,Банеоцин  Эффект домино 2,00:00:15:00,00:00:00:00,00:00:15:00,440323,,,КР,
Лого ДА,12:45:48:14,J7  J7 Фрукты,00:00:15:00,00:00:00:00,00:00:15:00,501325,,,КР,
Лого ДА,12:46:03:14,Роллтон Вермишель БП,00:00:15:00,00:00:00:00,00:00:15:00,502464,,,КР,
Лого ДА,12:46:18:14,Colgate Total  Colgate Total_2015_15,00:00:15:00,00:00:00:00,00:00:15:00,485756,,,КР,
Лого ДА,12:46:33:14,Чудо  Музей 2,00:00:30:00,00:00:00:00,00:00:30:00,494595,,,КР,
Лого ДА,12:47:03:14,"Тойота РАВ4,Тойота Камри,Тойота Королла  Тактическая кампания май 2015",00:00:20:00,00:00:00:00,00:00:20:00,503328,,,КР,
Лого ДА,12:47:23:14,Colgate SAN  Colgate SAN_2015_20,00:00:20:00,00:00:00:00,00:00:20:00,493063,,,КР,
Лого ДА,12:47:43:14,Фруктовый сад  Там и здесь/ананас титр1/00:00:11:00/00:00:01:00/PCDA0415.tga,00:00:20:00,00:00:00:00,00:00:20:00,500033,"GR048
00:00:11:00/00:00:01:00",,КР,
Лого ДА,12:48:03:14,Deo Women  Powder Touch 2015,00:00:20:00,00:00:00:00,00:00:20:00,494017,,,КР,
Лого ДА,12:48:23:14,Несквик Сириал момс  20 рублей,00:00:20:00,00:00:00:00,00:00:20:00,501251,,,КР,
Лого ДА,12:48:43:14,ID_PERETZ_NEW_CET_ZAKR_ENF,00:00:01:00,00:00:00:00,00:00:01:00,PGR_0013_ENF,_ENF,,,
Лого ДА,12:48:44:14,Участок.18мая.4сер_Пн20_30 Нов,00:00:30:00,00:00:00:00,00:00:30:00,VAN002788,,,,
Лого ДА,12:49:14:14,КитайСервиз.16мая_Сег17_15,00:00:15:00,00:00:00:00,00:00:15:00,VAN002821,,,,
