"Плей-лист на СУББОТА, 16.05.2015 г. Перец Европа",,,,,,,,,,
"Источник, логотип",Время выхода в эфир,Название передачи,Хронометраж,Таймкод начальный,Таймкод конечный,Номер эфирной кассеты,GPO,Аудит,Тип рекламы,Б/С
Лого ДА,06:51:25:07,ID_PERETZ_NEW_CET_ZAKR_ENF,00:00:01:00,00:00:00:00,00:00:01:00,PGR_0013_ENF,_ENF,,,
Лого ДА,06:51:26:07,9MАЯ_КУРЕНИЕ,00:00:05:00,00:00:00:00,00:00:05:00,GRF_0054,,,,
Лого ДА,06:51:31:07,ТАРАКАНИЩЕ титр2/00:00:00:00/00:00:08:00/P_00.tga,00:16:29:24,00:00:00:12,00:16:30:11,PR_130321_123,"GR007
00:00:00:00/00:00:08:00",0+,,00:00:08:00/00:16:21:24
Лого ДА,07:08:01:06,ID_PERETZ_NEW_STONE_3_REG_STR,00:00:03:00,00:00:00:00,00:00:03:00,PGR_0018_STR,_STR,,,
Лого ДА,07:08:04:06,Мужская цепь Арго_2828  С 01.05 Спонсорство Перец 2015,00:01:00:00,00:00:00:00,00:01:00:00,502972,,,СЗО,
Лого ДА,07:09:04:06,Рыбочистка_2828  Спонсорство Перец 2015,00:01:15:00,00:00:00:00,00:01:15:00,503587,,,СЗО,
Лого ДА,07:10:19:06,ID_PERETZ_NEW_3_ENR,00:00:03:00,00:00:00:00,00:00:03:00,PGR_0029_ENR,_ENR,,,
Лого ДА,07:10:22:06,КАК ОБЕЗЬЯНКИ ОБЕДАЛИ титр2/00:00:00:00/00:00:08:00/P_00.tga,00:09:04:07,01:51:45:00,02:00:49:07,PR_121015020,"GR008
00:00:00:00/00:00:08:00",0+,,00:00:08:00/00:08:56:07
Лого ДА,07:19:26:13,ID_PERETZ_NEW_CLAY _REKL_3_STF,00:00:03:00,00:00:00:00,00:00:03:00,PGR_0048_STF,_STF,,,
Лого ДА,07:19:29:13,Deo Men  Black&White Male 15,00:00:15:00,00:00:00:00,00:00:15:00,500623,,,КР,
Лого ДА,07:19:44:13,Nivea Men  Sensitive Shaving,00:00:20:00,00:00:00:00,00:00:20:00,496210,,,КР,
Лого ДА,07:20:04:13,DeAgostini  CV2 Tank T-72 01/15 fed,00:00:05:00,00:00:00:00,00:00:05:00,476719,,,КР,
Лого ДА,07:20:09:13,Samsung  Galaxy S6 edge Кредит,00:00:30:00,00:00:00:00,00:00:30:00,500681,,,КР,
Лого ДА,07:20:39:13,Deo Women  Powder Touch 2015 титр1/00:00:11:00/00:00:01:16/PCDA0415.tga,00:00:20:00,00:00:00:00,00:00:20:00,494017,"GR009
00:00:11:00/00:00:01:16",,КР,
Лого ДА,07:20:59:13,Renault Sandero  В ритме элементов May 2015,00:00:20:00,00:00:00:00,00:00:20:00,499658,,,КР,
Лого ДА,07:21:19:13,КФС  Лонгер - мальчик,00:00:15:00,00:00:00:00,00:00:15:00,495443,,,КР,
Лого ДА,07:21:34:13,Nivea Men  Greetings,00:00:05:00,00:00:00:00,00:00:05:00,497306,,,КР,
Лого ДА,07:21:39:13,ID_PERETZ_NEW_CET_ZAKR_ENF,00:00:01:16,00:00:00:00,00:00:01:16,PGR_0013_ENF,_ENF,,,
Лого ДА,07:21:41:04,ОБЕЗЬЯНКИ И ГРАБИТЕЛИ титр2/00:00:00:00/00:00:08:00/P_00.tga,00:08:13:21,01:43:20:00,01:51:33:21,PR_121012800,"GR010
00:00:00:00/00:00:08:00",0+,,00:00:08:00/00:08:05:21
Лого ДА,07:29:55:00,ID_PERETZ_NEW_SMI_5,00:00:05:00,00:00:00:00,00:00:05:00,VO-2_154,,,,
Лого ДА,07:30:00:00,Не будь овощем - Шапка (открывающая) титр2/00:00:00:00/00:00:08:00/P_16.tga,00:00:10:00,00:00:00:00,00:00:10:00,GRF_0048,"GR011
00:00:00:00/00:00:08:00",16+,,
Лого ДА,07:30:10:00,НЕ БУДЬ ОВОЩЕМ! 047-я серия. 1957_RENEW DUVET_off price_DAR 9'55'' (матрас),00:09:55:00,00:00:00:00,00:09:55:00,PR_121038960,,,,00:00:00:00/00:09:55:00
Лого ДА,07:40:05:00,НЕ БУДЬ ОВОЩЕМ! 027-я серия. Twist-a-say_price off FN 9'55'' (инструменты),00:09:55:00,00:00:00:00,00:09:55:00,PR_121036405,,16+,,00:00:00:00/00:09:55:00
Лого ДА,07:50:00:00,НЕ БУДЬ ОВОЩЕМ! 049-я серия. 2615_Hot Shapers Prolong_off price_DAR 9'55'',00:09:55:00,00:00:00:00,00:09:55:00,PR_121039049,,,,00:00:00:00/00:09:55:00
Лого ДА,07:59:55:00,Не будь овощем - Конечные титры (закрывающая),00:00:05:00,00:00:00:00,00:00:05:00,GRF_0049,,,,
Лого ДА,08:00:00:00,ID_PERETZ_NEW_STONE_5_REG_STR,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0019_STR,_STR,,,
Лого ДА,08:00:05:00,Colgate SAN  Colgate SAN_2015_20,00:00:20:00,00:00:00:00,00:00:20:00,493063,,,КРП,
Лого ДА,08:00:25:00,Напитки из Черноголовки  Дюшес.2015,00:00:10:00,00:00:00:00,00:00:10:00,501284,,,КРП,
Лого ДА,08:00:35:00,Rexona  Venus`30,00:00:30:00,00:00:00:00,00:00:30:00,491928,,,КРП,
Лого ДА,08:01:05:00,ID_PERETZ_NEW_5_ENR,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0030_ENR,_ENR,,,
Лого ДА,08:01:10:00,9MАЯ_КУРЕНИЕ,00:00:05:00,00:00:00:00,00:00:05:00,GRF_0054,,,,
Лого ДА,08:01:15:00,МАЛЫШ И КАРЛСОН титр2/00:00:00:00/00:00:08:00/P_00.tga,00:18:30:09,01:00:00:02,01:18:30:11,PR_121013801,"GR012
00:00:00:00/00:00:08:00",0+,,00:00:08:00/00:18:22:09
Лого ДА,08:19:45:09,ID_PERETZ_NEW_METAL_REKL_5_STF,00:00:05:00,00:00:00:00,00:00:05:00,PGR_0051_STF,_STF,,,
Лого ДА,08:19:50:09,Nivea Face Care  Double Effect,00:00:15:00,00:00:00:00,00:00:15:00,500136,,,КР,
Лого ДА,08:20:05:09,Nivea Men  Sensitive Shaving,00:00:20:00,00:00:00:00,00:00:20:00,496210,,,КР,
Лого ДА,08:20:25:09,Bayer 2015  Бепантен Плюс 10,00:00:10:00,00:00:00:00,00:00:10:00,494981,,,КР,
Лого ДА,08:20:35:09,J7  J7 Фрукты,00:00:15:00,00:00:00:00,00:00:15:00,501325,,,КР,
Лого ДА,08:20:50:09,Иберогаст  Лаборатория,00:00:15:00,00:00:00:00,00:00:15:00,494990,,,КР,
Лого ДА,08:21:05:09,Deo Women  Powder Touch 2015,00:00:20:00,00:00:00:00,00:00:20:00,494017,,,КР,
Лого ДА,08:21:25:09,Экзодерил  1 Космонавт,00:00:20:00,00:00:00:00,00:00:20:00,498476,,,КР,
Лого ДА,08:21:45:09,Добрый Палпи  Последняя капля,00:00:25:00,00:00:00:00,00:00:25:00,496105,,,КР,
Лого ДА,08:22:10:09,Релиф  Оркестр v3 титр1/00:00:06:00/00:00:01:00/PCDA0415.tga,00:00:10:00,00:00:00:00,00:00:10:00,486624,"GR013
00:00:06:00/00:00:01:00",,КР,
Лого ДА,08:22:20:09,Coca-Cola  Бобик 2,00:00:45:00,00:00:00:00,00:00:45:00,500419,,,КР,
Лого ДА,08:23:05:09,ID_PERETZ_NEW_CET_ZAKR_ENF,00:00:01:00,00:00:00:00,00:00:01:00,PGR_0013_ENF,_ENF,,,
Лого ДА,08:23:06:09,9MАЯ_КУРЕНИЕ,00:00:05:00,00:00:00:00,00:00:05:00,GRF_0054,,,,
